S. No.,Proposal No.,Clearance Details,Project Name,Location,Project Proponent,Other Details,Issuing Authority,Proposal Status,Project_Description
174,SIA/MP/MIN/567946/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274514/2026","Project: Thanvari Crusher Stone (Gitti) & M Sand Quarry Project Khasra No. 16, Village: Thanvari, Tehsil & District- Seoni, State- Madhya Pradesh Proponent: Shri Daduram Sanadya Area: 4.00 Ha",MADHYA PRADESH,DADU RAM SANDAY,Category: B1 Sector: Non-Coal Mining Date of Submission: 06/02/2026,SEIAA,Under Examination,"The proposed project of Thanvari Stone Quarry Project by Shri Daduram Sanadya is located at Village: Thanvari, Tehsil & District-Seoni, State- Madhya Pradesh Area: 4.00 Ha. The Mining Lease was granted in favour of Shri Daduram Sanadya S/o Late. Shri Jatarsingh Sanadya Village- Bandol , Tehsil- Seoni, Dist.- Seoni (M.P.)."
175,SIA/MP/MIN/564135/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271134/2026,MUGDARA-2 SAND QUARRY (1.60Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EDS raised,"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024 for grant of Mining Lease for Mugdara-2 Sand Quarry located in Village- Mugdara, Tehsil- Nainpur, District- Mandla, State- Madhya Pradesh over an area of 1.600 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Mechanized Opencast mining method.The project falls under Schedu"
176,SIA/MP/MIN/560411/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/267728/2025",Bhaganwara Dolomite Quarry,MADHYA PRADESH,bhanu kumar bohra,Category: B1 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Standard ToR Granted,"Bhaganwara Dolomite Mine Quarry,” having a mine lease area of 4.820 hectares located near Village- Bhaganwara , Tehsil- Badavara , District-Katni Mining will be carried out by manually semi-mechanised opencast method. The proposed annual production of Dolomite is 10,000 Tons Per year."
177,SIA/MP/MIN/568059/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/274610/2026,Digaonmali Stone (Gitti) Quarry,MADHYA PRADESH,vijay sharma,Category: B2 Sector: Non-Coal Mining Date of Submission: 05/02/2026,SEIAA,EDS raised,"It is a stone quarry with a production capacity of 8,000 cubic meter per year gitti having a lease area of 1.50 hectares, previously EC was issued by DEIAA Mandsaur at Khasra No. 289/34 Village Digaonmali, Tehsil Mandsaur, District Mandsaur (M.P.). Now we are applying for fresh EC/Reappraisal in MP-SEIAA as per the Honourable NGT OA 142 of 2022 dtd 07-12-2022."
178,SIA/MP/MIN/565468/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272247/2026",Khargapur Murrum Quarry,MADHYA PRADESH,IMRAN KHAN,Category: B2 Sector: Non-Coal Mining Date of Submission: 13/01/2026,SEIAA,EDS raised,"VILLAGE : KHARGAPUR TEHSIL : KHARGAPUR DISTRICT : TIKAMGARH STATE : MADHYA PRADESH LEASE AREA : 2.00 HECTARE SURVEY NO. : 2495 (S) LESSEE SHRI IMRAN KHAN S/O SHRI ESMAEL KHAN RESIDENCE – WARD NO.02, KHARGAPUR, TEHSIL - KHARGAPUR, DISTRICT – TIKAMGARH (M.P.)"
179,SIA/MP/MIN/562787/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269932/2025","Sillarpur Stone(gitti), M-Sand, and Boulder Quarry",MADHYA PRADESH,balram,Category: B2 Sector: Non-Coal Mining Date of Submission: 16/01/2026,SEIAA,Under Verification,"It is a Stone(gitti), M-Sand, and Boulder Quarry with a production capacity of 30,000 m3/year Stone (Gitti), 30,000 m3/year M-sand and 2,000 cum/year Boulder having a lease area of 3.0 hectare, at Khasra No. 1090 (Govt. land) Village - Sillarpur, Tehsil-Karera, District- Shivpuri (M.P.)"
180,SIA/MP/MIN/564138/2026,Clearance Type: Application for EC for Mining of Minor Minerals of Mine Lease (0-5 HA) - Form-2 S/W No.: SW/271136/2026,SURKHI SAND QUARRY (3.00Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 07/01/2026,SEIAA,EDS raised,"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024 for grant of Surkhi Sand Quarry located in Village- Surkhi, Tehsil- Nainpur, District- Mandla, State- Madhya Pradesh over an area of 3.000 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Mechanized Opencast mining method. The project falls under Schedule 1 (a) (i) of EIA "
181,SIA/MP/MIN/567688/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/248917/2025","Birampur Stone for Murrm & Gitti, M-sand Quarry",MADHYA PRADESH,daksh sihag,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Standard ToR Granted,"The project is for mining of Stone (Gitti), Murrum & M Sand in Khasra No. 12 PEKI over an area of 4.0000 Ha., situated near village Birampura, Tehsil Manawar, District Dhar, Madhya Pradesh of Shri Daksh SihagS/o Shri Subhash Sihag. The Environmental Clearance is required for mining project for a targeted production capacity 21000 cum murram, 15000 cum Stone Gitti and 60000 cum M-sand per Annum."
182,SIA/MP/MIN/564286/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271272/2026",Singrawal Stone Quarry,MADHYA PRADESH,SHANKER VAISHYA,Category: B1 Sector: Non-Coal Mining Date of Submission: 06/01/2026,SEIAA,Standard ToR Granted,"It is a Stone quarry with a production capacity of Max 35,540 Cu.mt/Year stone having a lease area of 3.55 hectares , previously EC was issued by DEIAA Singrauli at Khasra No.- 95 (Govt. Land) Village - Singrawal Tehsil- Mada, District- Singrauli (M.P.). As our mine lease is falling in a cluster having cluster area more than 5 hectares hence on the basis of minutes of 777th SEAC meeting Dated 11/03/2025 we are applying a new application in B1 category via Form-1."
183,SIA/MP/MIN/567699/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274269/2026",Rangwasa Stone (Gitti & M-Sand) Quarry Project,MADHYA PRADESH,ANTIM SHRIWAS,Category: B1 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,Under Examination,This is a Stone mining project. Open-cast Semi mechanized quarry operation Method will be used during mining operation.
184,SIA/MP/MIN/564413/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271345/2026",Dhouranala Stone (Gitti) Boulder & Murrum Quarry,MADHYA PRADESH,amrit lal baheliya,Category: B2 Sector: Non-Coal Mining Date of Submission: 03/02/2026,SEIAA,Under Verification,"It is a Stone Quarry with a production capacity of Stone(Gitti)4000 m3/year, Boulder 1000 m3/year and Murrum 5000 m3/year having a lease area of 2.96 hectare at Khasra No. 270/2, 271 & 295 (Pvt. land) Village - Dhouranala, Tehsil- Mandla, District- Mandla (M.P.)"
185,SIA/MP/MIN/562567/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269742/2025",Amiliya Sand Quarry_9.00 ha,MADHYA PRADESH,GAYAPRASAD ANJNE,Category: B1 Sector: Non-Coal Mining Date of Submission: 01/01/2026,SEIAA,Proposal pulled back (withdrawn),"Sand Quarry on Son River, Located at Khasra No. 1/601, Amiliya Village, Manpur Tehsil, Umaria District, Madhya Pradesh.. Total lease area is 9.00 ha."
186,IA/MP/IND2/564663/2026,Clearance Type: Application for No Increase in Pollution Load - Form-10 S/W No.: SW/271581/2026,Change in product mix with no increase in pollution load.(Grain Base fuel ethanol unit of 180 KLPD to 270 KLPD and Co-generation power plant),MADHYA PRADESH,AMBASHAKTI BIO ENERGY PRIVATE LIMITED,Category: B2 Sector: Date of Submission: 11/01/2026,MOEFCC,INTIMATED,"Increased production will be achieved through Innovative “E-Max” Technology, high starch convergence efficiency with low steam consumption & high efficiency of all sections. The steam and power balance is maintained using back pressure turbine without any wastage of fuel and steam and even in fluctuating plant demands."
187,SIA/MP/MIN/549440/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/137020/2023","Machigarh Pyrophyllite and Diaspore Deposit, Lease Area 10.070 Ha(Mining area - 10.0 & Approach Road -0.070 Ha) by M/s. Jindutt Minerals Pvt. Ltd..",MADHYA PRADESH,JINDUTT MINERALS PVT. LTD.,Category: B1 Sector: Non-Coal Mining Date of Submission: 29/01/2026,SEIAA,Under Verification,"Machigarh Pyrophyllite and Diaspore Deposit, Lease Area 10.070 Ha (Mining area - 10.0 & Approach Road -0.070 Ha) by M/s. Jindutt Minerals Pvt. Ltd.. It is proposed project having production capacity 50,119 TPA where mineral will be extracted using open cast semi mechanized method. The project falls under Category “B” Project or activity 1(a) (i); Mining of Mineral as per EIA notification 2006 and its amendments. The State Govt. vide its letter no. F 3-45/2018/12/1 dated 03.02.2025. The QL area h"
188,SIA/MP/MIN/562816/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/268526/2025",TELIYA DHAD STONE & M-SAND QUARRY,MADHYA PRADESH,NIRMAL KUMAR BHALLAVI,Category: B2 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,Under Verification,"This is a crusher stone quarry. It comes under the B1 Category. We are using an open-cast semi-mechanised mining method of production, and its minable reserve production is 2,40,500 Cub Meters and annual production is 20,000 Cub Meters"
189,SIA/MP/MIN/558214/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/242789/2025","RAJEEV KUMAR JAIN, PRATAPPURA STONE QUARRY - 2.0 HA",MADHYA PRADESH,RAJEEV JAIN,Category: B1 Sector: Non-Coal Mining Date of Submission: 20/01/2026,SEIAA,Under Verification,"Pratappura Stone Quarry mine is located at Khasra No.-1/6, Village –Pratappura, Tehsil Orchha, Distt. Niwari (M.P.). The lease has been sanctioned in F/o Rajeev Kumar Jain. The total lease area of the mine is 2.00 ha. DEIAA has granted EC in vide letter no. 1015 dated 10.04.2018 in favor of Rajeev Kumar Jain. The capacity of quarry is for mining of Stone – 47736 cum /year"
190,IA/MP/MIN/479358/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/188251/2024,Rodada limestone mine 13.150 ha,MADHYA PRADESH,SAGAR CEMENTS (M) PRIVATE LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 06/06/2024,MOEFCC,DELISTED BY SYSTEM (at : ),Name change of the Company from Satguru Cement Private Limited to Sagar Cements (M) Private Limited
191,SIA/MP/MIN/567169/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/245213/2025",BATHIYA STONE (SILICEOUS/CALCAREOUS SHALE) QUARRY LEASE,MADHYA PRADESH,SHIVSHAKTI CONSTRUCTION COMPANY,Category: B1 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,Under Verification,This is a stone quarry project for making gitty.
192,SIA/MP/MIN/523742/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/234710/2025",SAMNAPUR STONE & M-SAND QUARRY,MADHYA PRADESH,AJAY LODHI,Category: B1 Sector: Non-Coal Mining Date of Submission: 07/02/2026,SEIAA,Under Examination,"It is B-1 Category Stone And M-Sand Renewal Quarry Project. Project is Located at Survey No. 372/1, in Village Samnapur, Tehsil Sagar, District Sagar State Madhya Pradesh Total Quarry Lease Area - 1.80Ha."
193,SIA/MP/MIN/566615/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/236688/2025","Suvakheda & Kheda Rathore Limestone Mine (ML Area - 221.043 Ha) with Expansion in Limestone Production Capacity from 0.5 million TPA to 3.0 million TPA (ROM) at Villages - Suvakheda and Kheda Rathore, Tehsil - Jawad, District - Neemuch, Madhya Pradesh",MADHYA PRADESH,veer durga das minerals private limited,Category: B1 Sector: Non-Coal Mining Date of Submission: 04/02/2026,SEIAA,Under Verification,"M/s. Veer Durgadas Minerals Pvt. Ltd. is proposing Expansion in Limestone Production Capacity from 0.5 million TPA to 3.0 million TPA (ROM) in Suvakheda & Kheda Rathore Limestone Mine (ML Area - 221.043 Ha) at Villages - Suvakheda and Kheda Rathore, Tehsil - Jawad, District - Neemuch, Madhya Pradesh."
194,SIA/MP/MIN/565914/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272490/2026",Navapada Stone Mine (making for M-sand),MADHYA PRADESH,REKHA MERAWAT,Category: B1 Sector: Non-Coal Mining Date of Submission: 17/01/2026,SEIAA,Standard ToR Granted,"This is a stone mining project for making M-sand at Khasra No. 194/3, 194/3, Area 1.180ha, Village- Navapada, Tehsil -Meghnagar, Dist.- Jhabua, Madhya Pradesh."
195,SIA/MP/MIN/562570/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269737/2025",BHARUHI SAND QUARRY,MADHYA PRADESH,RAM SONI,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,Standard ToR Granted,"BHARUHI SAND QUARRY Located at Survey No.: 396(P), Village: Bharuhi, Tehsil: Bahri, District: Sidhi, State: Madhya Pradesh. Total Area :1.200 Ha, Under Cluster"
196,SIA/MP/MIN/527379/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/123655/2023",The Dhureri Stone Quarry,MADHYA PRADESH,UMA DUBEY,Category: B1 Sector: Non-Coal Mining Date of Submission: 19/01/2026,SEIAA,Under Verification,"“The Dhureri Stone Quarry”, having area: 3.00 ha. located at Khasra No: 51/1/1/1 near Village- (129) Dhureri, Tehsil-Depalpur, District-Indore, State-Madhya Pradesh."
197,SIA/MP/MIN/567828/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274407/2026","Birampura Murram, Stone and M-Sand Quarry",MADHYA PRADESH,B S MINES AND MINERALS,Category: B1 Sector: Non-Coal Mining Date of Submission: 03/02/2026,SEIAA,EDS raised,"The project is for mining of Stone (Gitti), Murrum & M Sand in Khasra No. 13 PEKI over an area of 4.0000 Ha., situated near village Birampura, Tehsil Manawar, District Dhar, Madhya Pradesh of M/s B. S. Mines & Minerals Partner Shri Anup Singh. The Environmental Clearance is required for mining project for a targeted production capacity 21000 cum murram, 15000 cum Stone Gitti and 60000 cum M-sand per Annum."
198,SIA/MP/MIN/564666/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/167386/2024","Aankali Murram, Stone(gitti) & M-Sand Quarry",MADHYA PRADESH,KAILASH BAIRAGI,Category: B1 Sector: Non-Coal Mining Date of Submission: 16/01/2026,SEIAA,Referred to SEAC,"The Environment Clearance is required for mining project at targeted production of 35,000 cum/annum of Stone Gitti, 15000 cum/annum M-sand and 15000 cum/annum of murram as overburden"
199,SIA/MP/MIN/442307/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/141783/2023",Nariyabizirg Stone Quarry,MADHYA PRADESH,DWARKA GUPTA,Category: B2 Sector: Non-Coal Mining Date of Submission: 27/01/2026,SEIAA,EDS raised,"Nariyabizirg Stone Quarry Located at Khasra No: 318 near, Village- Nariyabuzurg, Tehsil- Shamgarh, District- Mandsour, State-Madhya PRADESH."
200,SIA/MP/INFRA2/567931/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/234170/2025",Samdariya Avenue Residential/Commercial Complex Jabalpur,MADHYA PRADESH,SAMDARIYA BUILDERS (INDIA) PRIVATE LIMITED,Category: B1 Sector: INFRA-2 Date of Submission: 04/02/2026,SEIAA,EDS raised,Residential/Commercial Complex
201,SIA/MP/MIN/564973/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271821/2026","MALKHANPURA GITTI, BOULDER & M-SAND QUARRY",MADHYA PRADESH,NARAYAN SWAROOP BARUA,Category: B1 Sector: Non-Coal Mining Date of Submission: 09/01/2026,SEIAA,Standard ToR Granted,"This is a Malkhanpura Gitti, Boulder & M-Sand Quarr. It comes under the B1 ategory. We are using an open-cast semi-mechanised mining method with an annual production is 50,000 Cub meters/Year (Gitti -35,000 Cub Meter/Year, Boulder 5,000 Cub Meter/Year & M-Sand-10,000 Cub Meter/Year), Khasra no - 125, Area - 2.70 Ha, Village- Malkhanpura, Tehsil – Morena(Banmore), District - Morena (M.P.)"
202,SIA/MP/MIN/565114/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/188537/2024,Rodada Limestone Mine 44.465 ha,MADHYA PRADESH,SAGAR CEMENTS (M) PRIVATE LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 10/01/2026,SEIAA,EDS raised,Name change of the Company from Satguru Cement Private Limited to Sagar Cements(M) Private Limited
203,SIA/MP/INFRA2/565453/2026,Clearance Type: Application for amendment in ToR (for categories A & B1)/Amendment in EC (for category B2)- Form-3 S/W No.: SW/272229/2026,"Centre for Disability Sports at Survey No. 109,110,111,112,113,114 and 117 village Swejfarm, Tehsil Jagnapura District Gwalior, (MP)",MADHYA PRADESH,MINISTRY OF SOCIAL JUSTICE AND EMPOWERMENT GOVT OF INDIA,Category: B2 Sector: INFRA-2 Date of Submission: 13/01/2026,SEIAA,EDS raised,Earlier environment clearance was granted vide File No. 7948/SEIAA/21 dated 31.03.2021 on concept basis for the net plot area 106494.20 sqm and built-up area 38011.19 sqm. Now the construction of the project is completed. We are now submitting application as per actual status of the project. Built-up area decreases from 38011.19 sqm to 34638.74 sqm and water requirement of the project decreases and STP of the project is reduced from 225 KLD to 165 KLD. Consent to operate has been obtained vide c
204,SIA/MP/MIN/563766/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/270786/2025",Bathiya Gitti & M-Sand (Manufacturing by Mechanical Method) Deposit,MADHYA PRADESH,Shailesh Soni,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/01/2026,SEIAA,Standard ToR Granted,"The proposed project is located at Khasra No. - 897/2/1, 897/2/2, near Village - Bathiya, Tehsil - Maihar, District - Maihar, Madhya Pradesh. The project is proposed by Shri Shailesh Soni."
205,SIA/MP/MIN/567515/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/274057/2026",Amriti Laterite and Ochre Mine,MADHYA PRADESH,VIKAS MINERALS,Category: B1 Sector: Non-Coal Mining Date of Submission: 31/01/2026,SEIAA,SUBMITTED,"The proposed project is for mining of Laterite and Ochre from the lease area of 11.295 ha., located in Khasra No. 90, 88/1ka, 88/1/Kha-1, 88/1Kha-2, 88/1Kha-3, 88/1Kha-4, 88/2 Village- Amriti, Tehsil –Majhgawan, Distt-. Satna, Madhya Pradesh"
206,SIA/MP/INFRA2/565734/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/249305/2025",Common Bio Medical Waste Treatment Facility proposed by M/s Vaishnavi Enviro Care.,MADHYA PRADESH,PRAMILA SHARMA,Category: B1 Sector: INFRA-2 Date of Submission: 17/01/2026,SEIAA,Under Verification,"Common Bio Medical Waste Treatment Facility at Village Kalani, Tehsil & District Chhatarpur, Madhya Pradesh"
207,SIA/MP/INFRA2/562751/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/269865/2025",Chirayu University Of Chirayu Cheritable Foundation,MADHYA PRADESH,CHIRAYU CHARITABLE FOUNDATION,Category: B2 Sector: INFRA-2 Date of Submission: 18/01/2026,SEIAA,Proposal Accepted and Referred to SEAC,Chirayu University Of Chirayu Cheritable Foundation
208,SIA/MP/MIN/479584/2026,Clearance Type: Application for Transfer of EC- Form-7 S/W No.: SW/188517/2024,Rodada Limestone Mine 42.852 ha,MADHYA PRADESH,SAGAR CEMENTS (M) PRIVATE LIMITED,Category: B1 Sector: Non-Coal Mining Date of Submission: 07/06/2024,SEIAA,DELISTED BY SYSTEM (at : ),Name change of the Company from Satguru Cement Private Limited to Sagar Cements(M) Private Limited
209,SIA/MP/IND3/568334/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/231935/2025",SYNTHETIC ORGANIC CHEMICAL UNIT,MADHYA PRADESH,MP DYECHEM INDUSTRIES PVT. LTD.,Category: B1 Sector: Industrial Projects - 3 Date of Submission: 07/02/2026,SEIAA,Under Verification,"MPD Industries Pvt Ltd (MPDIPL) is proposing synthetic organic chemical unit ( Resin) at Plot no 80A in VikramUdoygpuri Industrial area having area of 24381sqmtrs with total production of 1,44,000 . The proposed activity is permitted as per main object clause of Memorandum of Association of the company. These products are manufactured in campaigns through multi-step organic synthesis using batch processes. The product portfolio is a mix of high volume, low value and low volume, high value produc"
210,SIA/MP/MIN/564845/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271502/2026",KATA MAL-1 SAND QUARRY (3.00Ha),MADHYA PRADESH,OMKAR DUBEY,Category: B2 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,EDS raised,"This is a new mine. Office of the District Collector (Khanij Branch) Mandla issued Letter of Intent (LOI) bearing no. Khanij 01/2024/1959, Mandla Dated- 23/12/2024 for grant of Kata Mal Sand Quarry located in Village- Kata Mal, Tehsil- Bichhiya, District- Mandla, State- Madhya Pradesh over an area of 3.000 Ha area to The Madhya Pradesh State Mining Corporation Ltd. for a period of 5 years. The mining will be done by Mechanized Opencast mining method. The project falls under Schedule 1 (a) (i) of"
211,SIA/MP/MIN/567535/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/272935/2026",Bisentha Flag Stone & Gitti Mine,MADHYA PRADESH,Rajendra sharma,Category: B1 Sector: Non-Coal Mining Date of Submission: 02/02/2026,SEIAA,Under Examination,"This is a flagstone, gitti quarry. It comes under the B1 Category. We are using an open-cast semi-mechanised mining method with an annual production of 20,000 Cub meters/Year(FlagStone-10000, Gitti 10000 ), Khasra no - 1227, Area - 2.00 Ha, Village- Bisentha, Tehsil – Morena(Banmore), District - Morena(M.P.)"
212,SIA/MP/MIN/567026/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273603/2026",Rozibeh Stone Quarry (1.560 Ha),MADHYA PRADESH,shree balaji stone crasher,Category: B1 Sector: Non-Coal Mining Date of Submission: 29/01/2026,SEIAA,EDS raised,"Village: Rozibeh, Tehsil: Huzur, District: Bhopal, State: Madhya Pradesh"
213,SIA/MP/MIN/558369/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/242702/2025","RAJEEV KUMAR JAIN, PRATAPPURA STONE MINE - 1.10 HA",MADHYA PRADESH,RAJEEV JAIN,Category: B1 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,Under Verification,"Pratappura Stone Quarry mine is located at Khasra No.-73 P, Village –Pratappura, Tehsil Orchha, Distt. Niwari (M.P.). The lease has been sanctioned in F/o Rajeev Kumar Jain. The total lease area of the mine is 1.10 ha. DEIAA has granted EC in vide letter no. 104 dated 10.04.2018 in favor of Rajeev Kumar Jain. The capacity of quarry is for mining of Stone – 64374 cum /year, ITS A OPERATING MINE WITH EC FROM DEIAA AND CTO FROM MPPCB APPLYING FOR REAPPRAISAL TO SEIAA FOR EC. WE HAVE PREPARED THE EI"
214,SIA/MP/MIN/524652/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/150494/2023",Didwara Gitti Stone Mine (1.00 ha),MADHYA PRADESH,JAI KAMADGIRI MINERALS,Category: B1 Sector: Non-Coal Mining Date of Submission: 14/01/2026,SEIAA,Under Verification,"Opencast Method has proposed the project for mining of 15,673 M3 Per Annum. The mine lease area is 1.00 Ha. The expected life of the mine is 5 years. Water requirement for the proposed project for drinking use, dust suppression and other use will be 6.13 KLD, which will be taken from nearby villages and supplied by private water tankers."
215,SIA/MP/MIN/565229/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/271768/2026",Parasi Sand Quarry_10.0Ha,MADHYA PRADESH,PREM LAL DWIVEDI,Category: B1 Sector: Non-Coal Mining Date of Submission: 12/01/2026,SEIAA,Standard ToR Granted,"Sand Quarry on Son River, Located at Khasra No. 46/407, Parasi Village, Manpur Tehsil, Umaria District, Madhya Pradesh. Total lease area is 10.00 ha."
216,SIA/MP/MIN/567273/2026,"Clearance Type: Application for ToR (Category A, B1, and B2 Violation)/EC (Category B2) - Form 1 S/W No.: SW/273804/2026",DHABLAGORI STONE MINE-2.0ha,MADHYA PRADESH,DHARMENDRA MEHTA,Category: B1 Sector: Non-Coal Mining Date of Submission: 30/01/2026,SEIAA,Standard ToR Granted,"Area-2.0ha, khasra no-145 at village-Dhabalgori, Tehsil-Ghatiya, District-Ujjain(M.P.)"
217,SIA/MP/MIN/567330/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/243437/2025",Ghutehi Marble Quarry,MADHYA PRADESH,RAJAS MARBLE INDUSTRIES,Category: B1 Sector: Non-Coal Mining Date of Submission: 31/01/2026,SEIAA,EDS raised,"It is a Marble quarry with a production capacity of Max. 5,112 Cu.mt/Year Marble, Max. 20,453 Cu.mt/Year Saleable waste and Max. 65,027 Cu.mt/Year Saleable OB having a lease area of 4.28 hectares , previously EC was issued by DEIAA Jabalpur at Khasra No.- 222/1, 223/1, 233 & 224 Village - Ghutehi, Tehsil- Sihora, District- Jabalpur (M.P.). Then we have applied a new application in Form-2 for fresh EC in SEIAA as per SEIAA policy decision taken in SEIAA agenda 766th Dated 11/01/2023 which is for "
218,SIA/MP/MIN/559042/2026,"Clearance Type: Application for EC (Category A, B1, and B2 Violation)- Form 1 S/W No.: SW/242834/2025","SURESH KUMAR SARAOGI, BHOJPURA STONE QUARRY - 4.0",MADHYA PRADESH,SURESH SARAOGI,Category: B1 Sector: Non-Coal Mining Date of Submission: 21/01/2026,SEIAA,EDS raised,"Bhojpura Stone Quarry mine is located at Khasra No.-4, Village –Bhojpura, Tehsil Orchha, Distt. Niwari (M.P.). The lease has been sanctioned in F/o Suresh Kumar Saraogi. The total lease area of the mine is 4.0 ha. DEIAA has granted EC in vide letter no. 221 dated 10.04.2018 in favor of Suresh kumar Saraogi. The capacity of quarry is for mining of Stone – 68000 cum /year"
